№,Код_поставщика,Наименование_поставщика,Код_потребителя,Наименование_потребителя,Тип_связи,Сила_связи,Примечание
11,01.1,Выращивание однолетних культур,10.4,Производство растительных и животных масел и жиров,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство растительных и животных масел и жиров"
12,01.1,Выращивание однолетних культур,10.41,Производство масел и жиров,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство масел и жиров"
13,01.1,Выращивание однолетних культур,10.42,Производство маргариновой продукции,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство маргариновой продукции"
14,01.1,Выращивание однолетних культур,10.5,Производство молочной продукции,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство молочной продукции"
15,01.1,Выращивание однолетних культур,10.51,Производство молока (кроме сырого) и молочной продукции,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство молока (кроме сырого) и молочной прод"
16,01.1,Выращивание однолетних культур,10.52,Производство мороженого,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство мороженого"
17,01.1,Выращивание однолетних культур,10.6,"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство продуктов мукомольной и крупяной пром"
18,01.1,Выращивание однолетних культур,10.61,Производство продуктов мукомольной и крупяной промышленности,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство продуктов мукомольной и крупяной пром"
19,01.1,Выращивание однолетних культур,10.62,Производство крахмала и крахмалосодержащих продуктов,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство крахмала и крахмалосодержащих продукт"
20,01.1,Выращивание однолетних культур,10.7,Производство хлебобулочных и мучных кондитерских изделий,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство хлебобулочных и мучных кондитерских и"
21,01.1,Выращивание однолетних культур,10.71,"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство хлеба и мучных кондитерских изделий, "
22,01.1,Выращивание однолетних культур,10.72,"Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство сухарей, печенья и прочих сухарных хл"
23,01.1,Выращивание однолетних культур,10.73,Производство макаронных изделий кускуса и аналогичных мучных изделий,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство макаронных изделий кускуса и аналогич"
24,01.1,Выращивание однолетних культур,10.8,Производство прочих пищевых продуктов,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство прочих пищевых продуктов"
25,01.1,Выращивание однолетних культур,10.81,Производство сахара,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство сахара"
26,01.1,Выращивание однолетних культур,10.82,"Производство какао, шоколада и сахаристых кондитерских изделий",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство какао, шоколада и сахаристых кондитер"
27,01.1,Выращивание однолетних культур,10.83,Производство чая и кофе,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство чая и кофе"
28,01.1,Выращивание однолетних культур,10.84,Производство приправ и пряностей,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство приправ и пряностей"
29,01.1,Выращивание однолетних культур,10.85,Производство готовых пищевых продуктов и блюд,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство готовых пищевых продуктов и блюд"
30,01.1,Выращивание однолетних культур,10.86,Производство детского питания и диетических пищевых продуктов,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство детского питания и диетических пищевы"
31,01.1,Выращивание однолетних культур,10.89,"Производство прочих пищевых продуктов, не включенных в другие группировки",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство прочих пищевых продуктов, не включенн"
32,01.1,Выращивание однолетних культур,10.9,Производство готовых кормов для животных,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство готовых кормов для животных"
33,01.1,Выращивание однолетних культур,10.91,"Производство готовых кормов для животных, содержащихся на фермах",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство готовых кормов для животных, содержащ"
34,01.1,Выращивание однолетних культур,10.92,Производство готовых кормов для непродуктивных животных,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание однолетних культур. Потребитель: Производство готовых кормов для непродуктивных жив"
35,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.13,"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей",Ссылка в классификаторе,3,"Деятельность '01.11' не включает операции, относящиеся к '01.13': выращивание сахарной кукурузы"
36,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.19,Выращивание прочих однолетних культур,Ссылка в классификаторе,3,"Деятельность '01.11' не включает операции, относящиеся к '01.19': выращивание кормовой кукурузы"
37,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",01.26,Выращивание плодов масличных культур,Ссылка в классификаторе,3,"Деятельность '01.11' не включает операции, относящиеся к '01.26': выращивание плодов масличных культур"
38,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.1,Переработка и консервирование мяса и мясной пищевой продукции,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Переработка и консервирование мяса и мясной пищево"
39,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.11,Переработка и консервирование мяса,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Переработка и консервирование мяса"
40,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.12,Производство и консервирование мяса птицы,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство и консервирование мяса птицы"
41,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.13,Производство продукции из мяса убойных животных и мяса птицы,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство продукции из мяса убойных животных и "
42,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.2,"Переработка и консервирование рыбы, ракообразных и моллюсков",Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Переработка и консервирование рыбы, ракообразных и"
43,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.20,"Переработка и консервирование рыбы, ракообразных и моллюсков",Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Переработка и консервирование рыбы, ракообразных и"
44,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.3,Переработка и консервирование фруктов и овощей,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Переработка и консервирование фруктов и овощей"
45,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.31,Переработка и консервирование картофеля,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Переработка и консервирование картофеля"
46,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.32,Производство соковой продукции из фруктов и овощей,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство соковой продукции из фруктов и овощей"
47,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.39,Прочие виды переработки и консервирования фруктов и овощей,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Прочие виды переработки и консервирования фруктов "
48,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.4,Производство растительных и животных масел и жиров,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство растительных и животных масел и жиров"
49,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.41,Производство масел и жиров,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство масел и жиров"
50,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.42,Производство маргариновой продукции,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство маргариновой продукции"
51,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.5,Производство молочной продукции,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство молочной продукции"
52,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.51,Производство молока (кроме сырого) и молочной продукции,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство молока (кроме сырого) и молочной прод"
53,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.52,Производство мороженого,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство мороженого"
54,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.6,"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",Зерновые для круп и муки,4,"Зерновые культуры (пшеница, рожь, ячмень) перерабатываются в муку, крупы и комбикорма. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство продуктов мукомольной и крупяной пром"
55,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.61,Производство продуктов мукомольной и крупяной промышленности,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство продуктов мукомольной и крупяной пром"
56,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.62,Производство крахмала и крахмалосодержащих продуктов,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство крахмала и крахмалосодержащих продукт"
57,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.7,Производство хлебобулочных и мучных кондитерских изделий,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство хлебобулочных и мучных кондитерских и"
58,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.71,"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство хлеба и мучных кондитерских изделий, "
59,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.72,"Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения",Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство сухарей, печенья и прочих сухарных хл"
60,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.73,Производство макаронных изделий кускуса и аналогичных мучных изделий,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство макаронных изделий кускуса и аналогич"
61,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.8,Производство прочих пищевых продуктов,Сырьё для пищевой промышленности,3,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство прочих пищевых продуктов"
62,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.81,Производство сахара,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство сахара"
63,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.82,"Производство какао, шоколада и сахаристых кондитерских изделий",Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство какао, шоколада и сахаристых кондитер"
64,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.83,Производство чая и кофе,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство чая и кофе"
65,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.84,Производство приправ и пряностей,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство приправ и пряностей"
66,01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",10.85,Производство готовых пищевых продуктов и блюд,Сырьё для пищевой промышленности,5,"Продукция растениеводства (зерновые, овощи, масличные) используется как сырьё для производства пищевых продуктов. Поставщик: Выращивание зерновых (кроме риса), зернобобовых ку. Потребитель: Производство готовых пищевых продуктов и блюд"
